Unnamed: 0,CO_GT,PT08_S1_CO,NMHC_GT,Nox_GT,PT08_S3_Nox,NO2_GT,PT08_S4_NO2,PT08_S5_O3,T2,RH,AH,C6H6_GT
0.0,1.2,933.2,-999.0,159.3,842.2,69.1,1369.1,898.2,17.7,139.9,42.007,5.8
1.0,3.3,1221.2,-999.0,576.3,641.2,135.1,1489.1,1424.2,18.6,105.9,33.622,13.2
2.0,-999.0,1058.2,-999.0,-999.0,876.2,-999.0,1594.1,893.2,18.9,96.1,31.069,8.5
3.0,4.7,1583.2,-999.0,1065.3,431.2,243.1,1640.1,1994.2,5.1,151.1,2.1001,26.1
4.0,0.9,775.2,-999.0,52.3,1349.2,53.1,1365.1,491.2,25.5,63.3,30.274,3.0
5.0,1.9,1087.2,126.1,107.3,1014.2,90.1,1412.1,851.2,20.3,58.5,2.149,7.3
6.0,-999.0,956.2,-999.0,189.3,915.2,121.1,942.1,945.2,3.2,107.1,1.3369,4.4
7.0,-999.0,897.2,-999.0,-999.0,953.2,-999.0,964.1,641.2,9.0,88.3,1.6117,3.1
8.0,1.6,998.2,-999.0,90.3,919.2,88.1,1450.1,1045.2,17.1,86.7,2.6023,7.1
9.0,4.0,1496.2,524.1,328.3,667.2,130.1,2011.1,1399.2,11.1,128.5,2.6194,19.1
10.0,-999.0,1111.2,-999.0,-999.0,635.2,-999.0,1719.1,884.2,33.1,62.9,46.849,13.1
11.0,0.8,774.2,-999.0,98.3,1246.2,57.1,966.1,457.2,16.7,76.5,2.2558,2.0
12.0,4.8,1310.2,-999.0,427.3,527.2,142.1,2194.1,1686.2,20.0,93.1,3.313,27.5
13.0,1.8,1123.2,-999.0,227.3,623.2,135.1,1303.1,856.2,25.2,57.1,2.7796,9.2
14.0,4.6,1738.2,-999.0,743.3,424.2,231.1,1543.1,2494.2,10.2,119.9,2.3137,20.4
15.0,-999.0,1243.2,-999.0,-999.0,766.2,-999.0,1731.1,1354.2,26.2,53.7,2.7763,15.4
16.0,0.5,919.2,-999.0,212.3,911.2,122.1,942.1,1044.2,3.4,116.1,1.4653,5.0
17.0,-999.0,860.2,-999.0,51.3,1097.2,59.1,1466.1,552.2,25.4,95.3,45.577,2.5
